Sample	posterior	likelihood	prior	treeLikelihood.AMR-seqsim	treeHeight.t:AMR-seqsim	treeLength.t:AMR-seqsim	Tree.t:AMR-seqsim.count_Resistant_to_Sensitive	Tree.t:AMR-seqsim.count_Sensitive_to_Resistant	Tree.t:AMR-seqsim.count_Resistant	Tree.t:AMR-seqsim.count_Sensitive	rootTypeLogger.t:AMR-seqsim	R0.t:AMR-seqsim1	R0.t:AMR-seqsim2	samplingProportion.t:AMR-seqsim1	samplingProportion.t:AMR-seqsim2	samplingProportion.t:AMR-seqsim3	samplingProportion.t:AMR-seqsim4	becomeUninfectiousRate.t:AMR-seqsim1	becomeUninfectiousRate.t:AMR-seqsim2	rateMatrix.t:AMR-seqsim1	rateMatrix.t:AMR-seqsim2	geo-frequencies.t:AMR-seqsim1	geo-frequencies.t:AMR-seqsim2	clockRate.c:AMR-seqsim	kappa.s:AMR-seqsim	freqParameter.s:AMR-seqsim1	freqParameter.s:AMR-seqsim2	freqParameter.s:AMR-seqsim3	freqParameter.s:AMR-seqsim4
0	-34017.80430441272	-33391.666918591276	-626.1373858214458	-33391.666918591276	9.7321463090496	53.452976574243195	19	25	34	66	0	2.0	2.0	0.0	0.01	0.0	0.01	0.5	0.5	0.1	0.1	0.5	0.5	0.005	2.0	0.25	0.25	0.25	0.25
1000	-22578.686565780103	-21771.89533423783	-806.7912315422722	-21771.89533423783	14.32751513694029	300.8976963907233	77	85	37	63	1	2.115393693444699	2.200912291275145	0.0	0.012668529452437917	0.0	0.012767865907819425	0.6350932436550437	0.6350932436550437	0.10303941149076215	0.12091561318830889	0.5011934708179636	0.4988065291820364	0.010809061807706936	2.0	0.2554318731845347	0.24911358890702315	0.2454545379084421	0.25
2000	-20158.220211847973	-19423.137709750496	-735.0825020974779	-19423.137709750496	14.999535064412957	338.0434091144475	86	92	34	66	0	1.505237015359781	2.0389640943225396	0.0	0.01454761914258226	0.0	0.017363459680623756	0.6387102177869721	0.6387102177869721	0.25412023056095884	0.25541874626540895	0.5112783651789212	0.4887216348210787	0.008549116714578106	1.996702343177393	0.24881480299755304	0.24911358890702315	0.2520716080954237	0.25
3000	-18708.50880332923	-17992.49519295409	-716.0136103751375	-17992.49519295409	14.595867283083297	351.3129362471986	117	120	31	69	0	1.4827941358360923	2.3602219595020966	0.0	0.017854158910302818	0.0	0.019147329796949462	0.6185989219426938	0.6185989219426938	0.4984013965175621	0.7056348760742008	0.5112783651789212	0.4887216348210787	0.007327379702927245	1.996702343177393	0.25585385173037767	0.247603770591267	0.2520716080954237	0.2444707695829315
4000	-17079.790351253883	-16333.532560067768	-746.2577911861141	-16333.532560067768	14.13560135997906	389.1500530045448	164	163	28	72	1	1.5699625746707924	2.485098771276268	0.0	0.021665356479734756	0.0	0.033512244099568975	0.5541250679925124	0.5541250679925124	0.6320178311327671	0.899294412877449	0.5112783651789212	0.4887216348210787	0.006695601852057894	1.996702343177393	0.25585385173037767	0.247603770591267	0.2520716080954237	0.2444707695829315
5000	-15717.70657118603	-15003.844259563411	-713.8623116226196	-15003.844259563411	13.091136219718054	381.14691825869977	142	147	34	66	1	2.2261472466872596	2.212252314725548	0.0	0.03523195023764125	0.0	0.06462281952579409	0.5229993061209568	0.5229993061209568	0.8753233236690773	0.7578829504828447	0.5112783651789212	0.4887216348210787	0.005849351584761182	1.996702343177393	0.2635456450960479	0.2531205371371615	0.2492218746694292	0.23411194309736133
6000	-14790.4463029288	-14073.019669131763	-717.4266337970363	-14073.019669131763	12.561225636926782	377.4602146730789	161	180	47	53	0	2.0379028357627096	1.9650617592165345	0.0	0.05059763718809066	0.0	0.09737276966216084	0.4669224366767169	0.4669224366767169	1.0960102747821363	0.7732581675042177	0.5112783651789212	0.4887216348210787	0.0054719113725390425	2.4018521777399706	0.2635456450960479	0.2531205371371615	0.2492218746694292	0.23411194309736133
7000	-14038.800396594175	-13332.136334436498	-706.6640621576765	-13332.136334436498	10.864161467177148	374.2421624578826	154	170	45	55	1	2.2000211358217068	1.8511556721075249	0.0	0.051833183270841195	0.0	0.08872688553461934	0.49892647332198703	0.49892647332198703	0.8650601881716774	0.7029065890931272	0.4276428828436719	0.5723571171563281	0.005251247059626845	2.4018521777399706	0.2635456450960479	0.2531205371371615	0.2492218746694292	0.23411194309736133
8000	-13754.046826486014	-13035.78153338991	-718.265293096104	-13035.78153338991	10.907548506910318	379.6105402984592	165	182	46	54	1	1.7720241024775407	1.9402084289663535	0.0	0.0638402288701377	0.0	0.10945448892625356	0.5023366831430764	0.5023366831430764	0.8419852980740155	0.9335845629702367	0.33942111378418566	0.6605788862158143	0.004961327978611808	2.4018521777399706	0.2635456450960479	0.2531205371371615	0.2492218746694292	0.23411194309736133
9000	-13204.234111542266	-12495.075991161675	-709.1581203805915	-12495.075991161675	10.722086013994925	373.27644527734304	179	204	53	47	0	2.1330855246095166	2.0535937616154434	0.0	0.0787351446812512	0.0	0.11857837799112414	0.44663044365948346	0.44663044365948346	1.0608570551757213	0.9276688349032663	0.385958719428063	0.614041280571937	0.004890590676728113	2.4018521777399706	0.2635456450960479	0.24933122266392665	0.253011189142664	0.23411194309736133
10000	-12771.996774139889	-12081.901461906247	-690.0953122336408	-12081.901461906247	11.026713243142678	364.7382702948581	182	190	37	63	1	1.957547788310154	2.049395342985997	0.0	0.07418401277926123	0.0	0.10942761681821553	0.4930483139317312	0.4930483139317312	1.2200743645797751	0.8713096886812267	0.33914358269189143	0.6608564173081085	0.004621333835542178	2.4018521777399706	0.2635456450960479	0.24933122266392665	0.253011189142664	0.23411194309736133
11000	-12405.733866588338	-11697.75248936006	-707.9813772282771	-11697.75248936006	11.331415146661344	372.630823175408	184	194	39	61	1	1.595079307883644	2.1413064705322564	0.0	0.07900112982834534	0.0	0.09622728247430148	0.4940480213058768	0.4940480213058768	1.2047443898444647	0.9742812261219509	0.33914358269189143	0.6608564173081085	0.004604162144950151	2.4018521777399706	0.2635456450960479	0.25020156689423734	0.25214084491235333	0.23411194309736133
12000	-12173.12324754082	-11477.411611154064	-695.7116363867555	-11477.411611154064	11.492443735258304	369.0672738561285	187	190	32	68	1	1.631946268485914	2.496295576631367	0.0	0.08985809452335661	0.0	0.08331878432316098	0.4762937149298349	0.4762937149298349	1.2406154168009318	0.9406574207304148	0.2870467728083812	0.7129532271916188	0.004287280624825668	2.4018521777399706	0.2635456450960479	0.25020156689423734	0.25214084491235333	0.23411194309736133
