AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
State,Alabama,All,2019-20,40,5.1,0,48,946,null
State,Alabama,All,2019-20,41,3.9,0,36,933,null
State,Alabama,All,2019-20,42,4.4,0,44,"1,002",null
State,Alabama,All,2019-20,43,4.3,2,40,983,null
State,Alabama,All,2019-20,44,5.5,2,50,947,null
State,Alabama,All,2019-20,45,5,0,52,"1,030",null
State,Alabama,All,2019-20,46,6.1,0,65,"1,070",null
State,Alabama,All,2019-20,47,4.4,3,42,"1,013",null
State,Alabama,All,2019-20,48,7.5,2,73,996,null
State,Alabama,All,2019-20,49,5.5,2,53,995,null
State,Alabama,All,2019-20,50,5.8,2,56,998,null
State,Alabama,All,2019-20,51,5.7,2,51,938,null
State,Alabama,All,2019-20,52,5.4,2,41,792,null
State,Alabama,All,2019-20,1,6.7,5,37,629,null
State,Alaska,All,2019-20,40,6.6,0,6,91,null
State,Alaska,All,2019-20,41,7.5,0,7,93,null
State,Alaska,All,2019-20,42,3.2,0,3,94,null
State,Alaska,All,2019-20,43,5.9,0,4,68,null
State,Alaska,All,2019-20,44,6,0,5,84,null
State,Alaska,All,2019-20,45,6.5,0,6,92,null
State,Alaska,All,2019-20,46,1.3,0,1,79,null
State,Alaska,All,2019-20,47,4.4,0,4,90,null
State,Alaska,All,2019-20,48,5.5,0,5,91,null
State,Alaska,All,2019-20,49,7.3,1,5,82,null
State,Alaska,All,2019-20,50,1.4,0,1,70,null
State,Alaska,All,2019-20,51,1.9,0,1,53,null
State,Alaska,All,2019-20,52,10.9,0,5,46,null
State,Alaska,All,2019-20,1,6.9,0,2,29,null
State,Arizona,All,2019-20,40,4.5,0,50,"1,105",null
State,Arizona,All,2019-20,41,4.6,2,49,"1,111",null
State,Arizona,All,2019-20,42,4.7,2,51,"1,139",null
State,Arizona,All,2019-20,43,5.4,1,53,"1,008",null
State,Arizona,All,2019-20,44,5.5,1,61,"1,123",null
State,Arizona,All,2019-20,45,4.9,0,60,"1,235",null
State,Arizona,All,2019-20,46,5.9,0,69,"1,168",null
